2022-06-23 11:14:11,376 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972050.876066, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:11,377 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:11,878 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972051.377435, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:11,879 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:12,380 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972051.8799274, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:12,381 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:12,882 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972052.3816538, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:12,883 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:13,383 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972052.8840632, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:13,384 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:13,886 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972053.3849986, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:13,888 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:14,387 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972053.8883758, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:14,388 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:14,889 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972054.388378, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:14,890 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:15,390 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972054.8904853, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:15,391 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:15,892 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972055.3919294, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:15,893 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:16,394 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972055.8937116, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:16,395 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:16,895 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972056.3956099, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:16,896 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:17,397 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972056.8965058, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:17,398 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:17,898 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972057.3982966, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:17,899 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:18,399 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972057.899411, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
